Equipo,WOD 1,WOD 2A,WOD 2B,WOD 3,WOD 4 Semifinal,WOD 5A Final,WOD 5B Final,TOTAL
Dani Mesa - Jhos Castaneda,2,6,11,10,3,,,32
Freddicito - Vane Grimaldos,1,2,10,3,7,,,23
Alvaro - Daniel Franco,4,8,3,7,1,,,23
X - Jordan Zamora,10,13,13,D,D,D,,36
Manes - Dari Ayala,9,7,2,8,9,,,35
Diego - Mitchel Taylor,5,9,6,1,4,,,25
Pri - Joao,6,4,4,12,6,,,32
Moro - Juanca Restrepo,7,5,12,4,5,,,33
Cami Gallego - Sebas Espitia,11,11,8,11,8,,,49
Ari - Samu Ramirez,12,10,7,6,10,,,45
Camilo Hernandez - Juan Marin,13,12,9,9,12,,,55
Sebas - Juancho,3,3,1,2,11,,,20
German Ceballos - Hurtado,8,1,5,5,2,,,21
